From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

######################################################################################################
#Zuldazar
######################################################################################################
8796;8799;sea;7260;-1;-1;-1;-1;; Atal'gral

8764;8761;sea;7283;-1;-1;-1;-1;; Talaji's Rebuke
8777;8771;sea;7283;-1;-1;-1;-1;; Talaji's Rebuke

######################################################################################################
#Nazmir
######################################################################################################
13729;8850;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
13729;8848;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
13729;15143;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
13729;1264;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15148;1264;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15148;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
1264;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
1259;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15139;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
1264;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
1264;8830;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
1264;15143;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15136;8830;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15136;8841;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15136;15142;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins
15136;1264;sea;13728;-1;-1;-1;-1;; Zul'jan Ruins

15485;1265;sea;13749;-1;-1;-1;-1;; the necropolis
15485;13750;sea;13749;-1;-1;-1;-1;; the necropolis
15226;13750;sea;13749;-1;-1;-1;-1;; the necropolis
13745;13750;sea;13749;-1;-1;-1;-1;; the necropolis

15239;13747;sea;13749;-1;-1;-1;-1;; the necropolis
15252;13747;sea;13749;-1;-1;-1;-1;; the necropolis
15252;15254;sea;13749;-1;-1;-1;-1;; the necropolis

15188;15255;sea;13734;-1;-1;-1;-1;; nazwatha
15224;15220;sea;13734;-1;-1;-1;-1;; nazwatha
15224;15242;sea;13734;-1;-1;-1;-1;; nazwatha
15227;15215;sea;13734;-1;-1;-1;-1;; nazwatha
15227;13740;sea;13734;-1;-1;-1;-1;; nazwatha
15224;13740;sea;13734;-1;-1;-1;-1;; nazwatha

15172;15193;sea;13734;-1;-1;-1;-1;; zal'amak
15172;15177;sea;13734;-1;-1;-1;-1;; zal'amak

15172;15194;sea;13734;-1;-1;-1;-1;; The Frogmarsh
15204;15194;sea;13734;-1;-1;-1;-1;; The Frogmarsh

13735;8862;sea;7317;-1;-1;-1;-1;; krag'wa's burrow

######################################################################################################
#Voldun
######################################################################################################
8705;8696;sea;7303;-1;-1;-1;-1;; Port of Zem'lan

13758;13756;sea;109;-1;-1;-1;-1;; Tortaka Refuge

######################################################################################################
#deepholm
######################################################################################################
15327;15381;sea;7755;-1;-1;-1;-1;; heart of azeroth
15371;15421;sea;7755;-1;-1;-1;-1;; heart of azeroth

15502;15476;sea;7755;-1;-1;-1;-1;; north maelstrom island
15502;15416;sea;7755;-1;-1;-1;-1;; north maelstrom island

